Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Test redirect,4496084,0,0,9,0.57,0.000%,10673.19644,1709.43,1250.76,164.0
TOTAL,4496084,0,0,9,0.57,0.000%,10673.19644,1709.43,1250.76,164.0
